step,joint,action,target_q,q_curr,tau
100,R_foot_roll,0.451822,0.000000,0.001403,-0.134062
110,L_hip_roll,1.514713,0.000000,-0.007848,1.760260
110,L_hip_yaw,0.037661,0.000000,-0.009681,1.166100
110,L_hip_pitch,-1.243254,-0.130000,-0.137606,-1.613431
110,L_knee,0.566007,-0.320000,-0.378744,6.950623
110,L_foot_pitch,2.325894,0.190000,0.226904,-2.912217
110,L_foot_roll,1.606531,0.000000,0.000740,-0.088832
110,R_hip_roll,-0.299785,0.000000,-0.008241,1.750010
110,R_hip_yaw,-0.004488,0.000000,0.007280,-0.869574
110,R_hip_pitch,0.873621,0.130000,0.136685,1.632848
110,R_knee,0.948023,0.320000,0.379701,-7.705835
110,R_foot_pitch,-1.905054,-0.190000,-0.228826,3.244588
110,R_foot_roll,0.250923,0.000000,0.001263,-0.113142
120,L_hip_roll,1.606874,0.000000,-0.008298,1.779855
120,L_hip_yaw,0.019894,0.000000,-0.009718,1.170621
120,L_hip_pitch,-1.668439,-0.130000,-0.113090,-4.360308
120,L_knee,0.644312,-0.320000,-0.367572,5.604712
120,L_foot_pitch,2.191980,0.190000,0.227781,-3.132496
120,L_foot_roll,1.509241,0.000000,0.000714,-0.085630
120,R_hip_roll,0.033614,0.000000,-0.008425,1.719863
120,R_hip_yaw,0.038676,0.000000,0.007230,-0.861217
120,R_hip_pitch,0.645982,0.130000,0.112641,4.427058
120,R_knee,1.166179,0.320000,0.369529,-5.948106
120,R_foot_pitch,-1.887538,-0.190000,-0.230201,3.413465
120,R_foot_roll,0.208601,0.000000,0.001297,-0.099951
130,L_hip_roll,1.508099,0.000000,-0.008419,1.712849
130,L_hip_yaw,0.158310,0.000000,-0.009719,1.164903
130,L_hip_pitch,-1.608925,-0.130000,-0.091960,-6.451843
130,L_knee,0.760893,-0.320000,-0.359786,5.497897
130,L_foot_pitch,2.612615,0.190000,0.229617,-3.387871
130,L_foot_roll,1.729558,0.000000,0.000601,-0.136079
130,R_hip_roll,-0.180901,0.000000,-0.008295,1.589192
130,R_hip_yaw,-0.028267,0.000000,0.007212,-0.864430
130,R_hip_pitch,0.715619,0.130000,0.091427,6.557159
130,R_knee,1.408108,0.320000,0.361694,-5.657473
130,R_foot_pitch,-2.024453,-0.190000,-0.232144,3.619924
130,R_foot_roll,0.146393,0.000000,0.001128,-0.046643
140,L_hip_roll,1.524336,0.000000,-0.008277,1.608117
140,L_hip_yaw,0.252938,0.000000,-0.009667,1.152067
140,L_hip_pitch,-1.804156,-0.130000,-0.076009,-7.805396
140,L_knee,0.749211,-0.320000,-0.356929,6.534671
140,L_foot_pitch,2.662724,0.190000,0.233100,-3.826866
140,L_foot_roll,1.653770,0.000000,0.000464,-0.092748
140,R_hip_roll,-0.257416,0.000000,-0.007938,1.461733
140,R_hip_yaw,0.014855,0.000000,0.007245,-0.874882
140,R_hip_pitch,0.593641,0.130000,0.074989,8.001629
140,R_knee,1.421991,0.320000,0.357950,-6.327151
140,R_foot_pitch,-2.143175,-0.190000,-0.235134,3.975736
140,R_foot_roll,0.116567,0.000000,0.000943,-0.031360
150,L_hip_roll,1.526193,0.000000,-0.007961,1.501683
